stream,section,date,min,max,avg
3 Channel,1,2022-07-27,27,29,28
3 Channel,2,2022-07-27,43,49,46
3 Channel,3,2022-07-27,23,28,25.5
3 Channel,4,2022-07-27,37,49,43
Blackrock,1,2022-07-23,2,2,2
Blackrock,2,2022-07-23,1,1,1
Blackrock,3,2022-07-23,0,0,0
Blackrock,4,2022-07-23,0,0,0
Blacktail,1,2022-07-26,111,124,117.5
Blacktail,2,2022-07-26,132,143,137.5
Blacktail,3,2022-07-26,17,17,17
Blacktail,4,2022-07-26,7,7,7
Cliff,1,2022-07-24,0,0,0
Cliff,2,2022-07-24,0,0,0
Cliff,3,2022-07-24,0,0,0
Cliff,4,2022-07-24,0,0,0
Crystal,1,2022-07-26,12,12,12
Crystal,2,2022-07-26,8,8,8
Crystal,3,2022-07-26,28,30,29
Crystal,4,2022-07-26,8,8,8
Fall,1,2022-07-31,7,9,8
Fall,2,2022-07-31,3,4,3.5
Fall,3,2022-07-31,14,17,15.5
Fall,4,2022-07-31,4,5,4.5
Fish,1,2022-07-25,24,32,28
Fish,2,2022-07-25,1,1,1
Fish,3,2022-07-25,7,7,7
Fish,4,2022-07-25,10,10,10
Flat,1,2022-08-03,0,0,0
Flat,2,2022-08-03,9,14,11.5
Flat,3,2022-08-03,3,4,3.5
Flat,4,2022-08-03,2,3,2.5
Lower Bar BC,1,2022-07-27,19,22,20.5
Lower Bar BC,2,2022-07-27,33,37,35
Lower Bar BC,3,2022-07-27,59,64,61.5
Lower Bar BC,4,2022-07-27,16,16,16
Mosquito,1,2022-07-25,0,0,0
Mosquito,2,2022-07-25,1,1,1
Mosquito,3,2022-07-25,0,0,0
Mosquito,4,2022-07-25,1,1,1
Spread,1,2022-07-23,1,2,1.5
Spread,2,2022-07-23,0,0,0
Spread,3,2022-07-23,0,0,0
Spread,4,2022-07-23,0,0,0
Upper Bar BC,1,2022-07-27,125,140,132.5
Upper Bar BC,2,2022-07-27,106,111,108.5
Upper Bar BC,3,2022-07-27,30,34,32
Upper Bar BC,4,2022-07-27,11,15,13
Willow,1,2022-07-24,0,0,0
Willow,2,2022-07-24,1,1,1
Willow,3,2022-07-24,0,0,0
Willow,4,2022-07-24,0,0,0
